ZipCode,facilities_count
6213,1
91952,1
94501,1
94515,2
94523,1
94538,1
94558,3
94559,1
94565,1
94567,1
94572,2
94576,1
94591,1
94592,1
94828,1
94901,1
94922,4
94923,30
94925,1
94928,197
94931,83
94949,1
94951,16
94952,302
94953,1
94954,145
94958,2
94972,7
95350,1
95354,1
95401,268
95402,3
95403,230
95404,164
95405,112
95406,2
95407,229
95409,69
95412,2
95416,4
95421,4
95424,1
95425,75
95430,10
95433,3
95436,33
95439,2
95441,29
95442,34
95444,9
95446,59
95448,237
95450,13
95452,23
95462,20
95465,17
95466,1
95471,1
95472,180
95473,3
95474,1
95476,255
95480,3
95492,131
95495,1
95497,3
95688,1
