month_date,high_temp,low_temp,rain
2019-01-01,59,40,6.14
2019-02-01,54,38,15.03
2019-03-01,61,41,6.64
2019-04-01,68,45,1.03
2019-05-01,65,46,2.94
2019-06-01,77,49,0.29
2019-07-01,80,50,0.74
2019-08-01,83,52,0.46
2019-09-01,82,47,0.19
2019-10-01,78,37,0.06
2019-11-01,68,36,1.47
2019-12-01,57,42,7.01
2020-01-01,58,37,1.94
2020-02-01,67,35,0.01
2020-03-01,61,38,1.39
2020-04-01,68,40,1.06
2020-05-01,73,45,1.08
2020-06-01,78,48,0.06
2020-07-01,78,50,0.02
2020-08-01,83,52,0.16
2020-09-01,84,50,0.54
2020-10-01,79,40,0.13
2020-11-01,66,34,1.11
2020-12-01,61,32,2.45
2021-01-01,59,37,3.18
2021-02-01,62,36,1.55
2021-03-01,62,34,2.17
2021-04-02,67,36,0.1
2021-05-01,75,42,0.33
2021-06-01,77,48,0.13
2021-07-01,77,50,0.07
2021-08-01,78,50,0.1
2021-09-01,80,47,0.33
2021-10-01,71,44,10.68
2021-11-01,65,43,2.6
2021-12-01,53,39,6.89
2022-01-01,61,35,0.55
2022-02-01,65,32,0.01
2022-03-01,65,36,1.42
2022-04-01,67,38,2.13
2022-05-01,74,42,0.39
2022-06-01,72,44,1.32
2022-07-01,76,50,1.2
2022-08-02,81,50,0.46
