2022,,2021,,2020,,2019,,,,,
,Avg.,Rain,Avg.,Rain,Avg.,Rain,Avg.,Rain,,,
,Temps,Total,Temps,Total,Temps,Total,Temps,Total,,,
1/1/2022,61/35,0.55,59/37,3.18,58/37,1.94,59/40,6.14,,,
2/1/2022,65/32,0.01,62/36,1.55,67/35,0.01,54/38,15.03000 *,,,
3/1/2022,65/36,1.42,62/34,2.17,61/38,1.39,61/41,6.64,,,
4/1/2022,67/38,2.13,67/36,0.1,68/40,1.06,68/45,1.03,,,
5/1/2022,74/42,0.39,75/42,0.33,73/45,1.08,65/46,2.94,,,
6/1/2022,72/44,1.32,77/48,0.13,78/48,0.06,77/49,0.29,,,
7/1/2022,76/50,1.2,77/50,0.07,78/50,0.02,80/50,0.74,,,
8/2/2022,81/50,0.46,78/50,0.1,83/52,0.16,83/52,0.46,,,
Sep,n/a,n/a,80/47,0.33,84/50,0.54,82/47,0.19,,,
Oct,n/a,n/a,71/44,10.68000 *,79/40,0.13,78/37,0.06,,,
Nov,n/a,n/a,65/43,2.6,66/34,1.11,68/36,1.47,,,
Dec,n/a,n/a,53/39,6.89,61/32,2.45,57/42,7.01,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
